job_title,skills,source
Data Architect,"Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security",original
DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking",original
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing",original
ELK Engineer,"Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security",original
Gerrit Administrator,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",original
Jenkins Engineer,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control",original
Jira Administrator,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management",original
Kubernetes Operations Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security",original
Machine learning Architect,"Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment",original
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms",original
Operations Engineer,"Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration",original
Principle Engineer in Artificial Intelligence,"AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation",original
Principle Engineer in Big Data,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation",original
Principle Engineer in Data Analysis,"Data Analysis, Statistics, SQL, Python, Data Visualization, Data Modeling, Mentoring, Innovation",original
Principle Engineer in Machine Learning,"Machine Learning, Deep Learning, Python, TensorFlow, Cloud Computing, Model Deployment, Mentoring, Innovation",original
Production Support Engineer,"Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL",original
Puppet Operations Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code",original
Senior Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring",original
Senior Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring",original
Senior DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership",original
Site Reliability Engineer (Kubernetes â Docker),"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting",original
Splunk Engineer,"Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure",original
.NET Developer,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing",original
ACCESSIBILITY SPECIALIST,"WCAG, ARIA, Accessibility Testing, Assistive Technologies, HTML, CSS, JavaScript, UI/UX, ADA Compliance",original
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management, Stakeholder Management, Communication, Jira, Confluence",original
Android Developer,"Android SDK, Java, Kotlin, UI/UX Design, REST APIs, SQL, Android Studio, Firebase, Mobile Development",original
Ansible Automation Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking",original
AppDynamics Engineer,"AppDynamics, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting",original
Application Security Engineer,"Application Security, SAST, DAST, Penetration Testing, Vulnerability Management, OWASP, Secure Coding, Cloud Security",original
Artifactory Engineer,"Artifactory, CI/CD, Jenkins, Maven, Gradle, Docker, Build Automation, Version Control, Git, Cloud Computing, Linux",original
AWS DevOps Engineer,"AWS, DevOps, CI/CD, Terraform, Ansible, CloudFormation, Docker, Kubernetes, Linux, Automation, Scripting",original
AWS Solutions Architect,"AWS, Cloud Architecture, AWS Lambda, EC2, S3, CloudFormation, DevOps, Terraform, Security, Cloud Security, Networking",original
Azure DevOps Engineer,"Azure, DevOps, CI/CD, Terraform, Ansible, ARM Templates, Docker, Kubernetes, Linux, Automation, Scripting",original
Bamboo Engineer,"Bamboo, CI/CD, Atlassian Suite, Automation, Scripting, Build Automation, Version Control, Git",original
Bitbucket Engineer,"Bitbucket, Git, Version Control, CI/CD, Atlassian Suite, Branching Strategies, Code Review",original
Blockchain Developer,"Blockchain, Ethereum, Smart Contracts, Solidity, Cryptocurrency, Distributed Ledger, Consensus Algorithms, Web3, JavaScript, Node.js",original
BUSINESS SYSTEMS ANALYST,"Business Analysis, Requirements Gathering, Process Improvement, Stakeholder Management, SQL, Data Analysis, UML, BPMN",original
C# Developer,"C#, .NET, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing",original
Chef InSpec Engineer,"Chef InSpec, Compliance as Code, Automation, Security, Configuration Management, Linux, Cloud Computing",original
Cloud administrator,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization",original
CLOUD ARCHITECT,"Cloud Architecture, AWS, Azure, Google Cloud, Terraform, Cloud Security, Networking, Microservices, CI/CD, Automation, Docker, Kubernetes",original
Cloud automation engineer,"Cloud Computing, Automation, Terraform, Ansible, Python, Scripting, CI/CD, AWS, Azure, Google Cloud",original
Cloud engineer,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization",original
Cloud network engineer,"Cloud Networking, AWS, Azure, Google Cloud, VPC, Subnets, Routing, Security Groups, Firewalls",original
Cloud Security Engineer,"Cloud Security, IAM, Identity and Access Management, Encryption, AWS, Azure, GCP, Vulnerability Management, Compliance",original
CNC Programmer,"CNC Programming, G-Code, CAD/CAM, Machining, Manufacturing Processes, Blueprints, Toolpath Optimization",original
Coder,"Programming, Algorithms, Data Structures, Problem Solving, Debugging, Software Development",original
COMPUTER GRAPHICS ANIMATOR,"3D Animation, 2D Animation, Motion Graphics, Adobe Creative Suite, Maya, Blender, Storyboarding, Visual Effects",original
Computer Hardware Engineer,"Hardware Design, Circuit Design, Embedded Systems, Microprocessors, PCB Design, Testing, Validation",original
Computer Network Architect,"Network Design, Routing, Switching, Security, LAN/WAN, TCP/IP, VPN, Firewalls, Cloud Networking",original
Computer Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++",original
Computer Research Scientist,"Research Methods, Data Analysis, Algorithms, Machine Learning, Publications, Scientific Writing, Programming",original
Computer Systems Analyst,"System Analysis, Requirements Gathering, Data Analysis, Process Improvement, UML, SQL, Stakeholder Management",original
Confluence Engineer,"Confluence, Atlassian Suite, Collaboration, Documentation, Workflow Configuration, User Management",original
Consul Engineer,"Consul, Service Discovery, Configuration Management, Networking, Automation, Cloud Computing",original
Coverage.py Engineer,"Coverage.py, Python, Testing, Code Coverage, Quality Assurance, CI/CD",original
DATA ANALYST,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling",original
Data Engineer,"SQL, ETL, Data Warehousing, Python, Spark, Hadoop, Cloud Computing, Data Pipelines, Data Modeling",original
DATA MODELER,"Data Modeling, SQL, Data Warehousing, Database Design, ER Diagrams, Data Governance",original
DATA SCIENTIST,"Python, R, Machine Learning, Data Science, Statistics, SQL, Hadoop, Spark, Data Wrangling, Data Visualization, Cloud Computing",original
Database Administrator,"SQL, Database Management, MySQL, PostgreSQL, Oracle, Database Design, Performance Tuning, Backup and Recovery",original
Datadog Engineer,"Datadog, Monitoring, Alerting, Metrics, Dashboards, Cloud Computing, Linux, Troubleshooting",original
Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++",original
DEVOPS MANAGER,"DevOps, Team Management, Project Management, CI/CD, Cloud Computing, Automation, Communication, Leadership, Budgeting",original
DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management",original
DevSecOps Engineer,"DevSecOps, Kubernetes, Docker, Cloud Security, Penetration Testing, Continuous Security, CI/CD, AWS, Terraform, Vulnerability Scanning",original
Director of Engineering,"Team Management, Project Management, Software Development, Agile Methodologies, Budgeting, Communication, Leadership",original
Docker Engineer,"Docker, Containerization, Kubernetes, CI/CD, Linux, Cloud Computing, Automation, Networking",original
Embedded Software Engineer,"Embedded C, RTOS, Microcontrollers, Firmware Development, Hardware Design, Communication Protocols, Testing",original
Entry Level Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Entry Level Network Engineer,"Networking, TCP/IP, Routing, Switching, Linux, Windows Server, Troubleshooting",original
Entry Level Programmer,"Programming, Algorithms, Data Structures, Python, Java, C++, Debugging",original
Entry Level Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Entry Level Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Entry Level Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics",original
Envoy Engineer,"Envoy, Service Mesh, Networking, Kubernetes, Docker, Cloud Computing, Traffic Management, Security",original
Falco Engineer,"Falco, Security, Kubernetes, Docker, Cloud Computing, Threat Detection, System Monitoring",original
FluentD Engineer,"FluentD, Log Management, Data Collection, Data Processing, Elasticsearch, Kibana, Cloud Computing",original
Fortify Engineer,"Fortify, Static Code Analysis, Security, Vulnerability Management, Software Development, Java, .NET",original
FRAMEWORKS SPECIALIST,"React, Angular, Vue.js, Spring Framework, Django, Framework Development, JavaScript, Java, Python",original
Front End Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design",original
Front End Web Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design",original
Full Stack Developer,"JavaScript, HTML, CSS, Node.js, React, Angular, Express.js, MongoDB, SQL, Python, Django, DevOps, CI/CD",original
Full Stack JAVA Developer/Programmer/Engineer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices, JavaScript, HTML, CSS, React",original
Full Stack Python Developer/Programmer/Engineer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git, JavaScript, HTML, CSS, React",original
Game Developer,"Unity, C++, Game Design, Game Engines, C#, VR Development, JavaScript, Unreal Engine",original
GCP DevOps Engineer,"Google Cloud, DevOps, CI/CD, Terraform, Ansible, Docker, Kubernetes, Linux, Automation, Scripting",original
Gerrit Engineer,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",original
Git Engineer,"Git, Version Control, Branching Strategies, Code Review, CI/CD, Automation, Scripting",original
Github Engineer,"GitHub, Git, Version Control, CI/CD, Automation, Scripting, GitHub Actions",original
GitLab Engineer,"GitLab, Git, Version Control, CI/CD, Automation, Scripting, GitLab CI",original
Gradle Engineer,"Gradle, Build Automation, Java, Groovy, CI/CD, Version Control, Git",original
Grafana Engineer,"Grafana, Data Visualization, Monitoring, Alerting, Metrics, Dashboards, Linux, Cloud Computing",original
Groovy Engineer,"Groovy, Scripting, Jenkins, Automation, Java, Build Automation",original
INFORMATION ARCHITECT,"Information Architecture, UI/UX Design, User Research, Wireframing, Prototyping, Content Strategy",original
Information Security Analyst,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing",original
INTERACTION DESIGNER,"Interaction Design, UI/UX Design, Prototyping, User Research, Wireframing, Usability Testing",original
IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Design, REST APIs, SQL, Mobile Development",original
Istio Engineer,"Istio, Service Mesh, Kubernetes, Docker, Cloud Computing, Networking, Traffic Management, Security",original
IT Manager,"Project Management, Team Leadership, Agile Methodologies, Budgeting, IT Infrastructure, Networking, Cloud Computing, Cybersecurity",original
JaCoCO Engineer,"JaCoCO, Code Coverage, Java, Testing, Quality Assurance, CI/CD",original
Java Developer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices",original
JavaScript Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design",original
JIRA Engineer,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management",original
Jr Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Junior Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Junior Front End Developer,"JavaScript, HTML, CSS, React, Vue.js, Git, UI/UX Basics",original
Junior IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Basics, Git",original
Junior Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Junior Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
Junior Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics",original
JUnit Engineer,"JUnit, Java, Testing, Unit Testing, Test Automation, CI/CD",original
kubernetes Administrator,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security",original
Kubernetes Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security",original
MAVEN Engineer,"Maven, Java, Build Automation, Dependency Management, CI/CD, Version Control, Git",original
Micro services / API Lead Designer,"Microservices, API Design, REST APIs, SOA, Cloud Computing, Java, Python, Security",original
MOBILE APP DEVELOPER,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design",original
Mobile Application Developer,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design",original
Mulesoft Developer,"MuleSoft, Anypoint Platform, API Development, Integration, Java, REST APIs, SOA",original
Nagios Engineer,"Nagios, Monitoring, Linux, Scripting, Alerting, System Administration, Networking",original
Network and Systems Administrator,"Networking, Linux, Windows Server, Troubleshooting, Scripting, Automation, System Administration",original
Network Engineer,"TCP/IP, LAN/WAN, Routing, Switching, Firewalls, VPN, Cisco, Security, Networking Protocols",original
New Grad Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms",original
New Relic Engineer,"New Relic, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting",original
Nexus Engineer,"Nexus, Artifact Repository, Maven, Gradle, Docker, CI/CD, Build Automation",original
Nomad Engineer,"Nomad, Container Orchestration, Docker, Linux, Cloud Computing, Automation, Networking",original
Notary Engineer,"Notary, Security, Docker, Container Security, Cryptography, Trust Management",original
Octopus Deploy Engineer,"Octopus Deploy, Deployment Automation, CI/CD, .NET, PowerShell, Scripting, Cloud Computing",original
OpenShift Engineer,"OpenShift, Kubernetes, Docker, Linux, Cloud Computing, CI/CD, Automation, Security",original
OpenStack Engineer,"OpenStack, Cloud Computing, Virtualization, Networking, Linux, Automation, Scripting",original
Oracle Developer,"Oracle, SQL, PL/SQL, Database Design, Performance Tuning, ETL",original
Oracle SQL Developer,"Oracle SQL Developer, SQL, PL/SQL, Database Development, Performance Tuning, ETL",original
Packer Engineer,"Packer, Infrastructure as Code, Cloud Computing, Automation, AWS, Azure, Google Cloud",original
PHP Developer,"PHP, MySQL, Laravel, JavaScript, CSS, HTML, RESTful APIs, Symfony, Git",original
Powershell Engineer,"PowerShell, Scripting, Automation, Windows Server, Cloud Computing, Active Directory",original
PRODUCT MANAGER,"Product Management, Agile Methodologies, User Research, Roadmap Planning, Stakeholder Management, Communication",original
Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++",original
Programmer Analyst,"Programming, Data Analysis, Requirements Gathering, SQL, Data Modeling, Process Improvement",original
Prometheus Engineer,"Prometheus, Monitoring, Alerting, Metrics, Kubernetes, Docker, Cloud Computing",original
Puppet Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code",original
PyTest Engineer,"PyTest, Python, Testing, Unit Testing, Test Automation, CI/CD",original
Python Developer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git",original
QA Engineer,"Automation Testing, Selenium, JUnit, TestNG, CI/CD, Python, Git, Jenkins, Test Automation, Agile Testing, Performance Testing",original
React Developer,"JavaScript, React, HTML, CSS, Node.js, Redux, UI/UX Design, Git",original
Robotics Engineer,"Robotics, C++, Python, ROS, Embedded Systems, Control Systems, Sensors, Actuators",original
RUBY ON RAILS DEVELOPER,"Ruby on Rails, Ruby, SQL, HTML, CSS, JavaScript, REST APIs, Git",original
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL, Salesforce Administration, REST APIs",original
Search Engine Optimization,"SEO, Keyword Research, On-Page Optimization, Off-Page Optimization, Content Marketing, Analytics",original
SECURITY SPECIALIST,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing",original
Selenium Engineer,"Selenium, Test Automation, Java, Python, WebDriver, CI/CD, Testing Frameworks",original
Senior Ansible Development Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking, Leadership",original
Senior Cloud Architect,"Cloud Architecture, AWS, Azure, Google Cloud, Microservices, Kubernetes, Docker, Security, Leadership",original
Senior DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking, Leadership",original
Senior DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management, Leadership",original
Senior SRE Architect,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership",original
Senior SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership",original
Sharepoint Developer,"SharePoint, .NET, C#, JavaScript, PowerShell, SharePoint Framework, REST APIs",original
Software Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++",original
Software Engineer,"Java, C++, Python, Algorithms, Data Structures, Software Design, Git, Jenkins, CI/CD, Cloud Computing",original
SonarQube Engineer,"SonarQube, Code Quality, Static Code Analysis, Java, .NET, Security, CI/CD",original
Splunk Enterprise Security Engineer,"Splunk Enterprise Security, Security Information and Event Management (SIEM), Threat Detection, Incident Response, Security Analysis",original
SQL Developer,"SQL, T-SQL, SQL Server, Database Design, Performance Tuning, ETL, SSRS, SSIS, Data Modeling",original
SRE Architect,"SRE, Cloud Architecture, Kubernetes, Docker, Monitoring, Incident Management, Automation, CI/CD, Networking",original
SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python",original
SYSTEMS ADMINISTRATOR,"Linux Administration, Windows Server Administration, Networking, Troubleshooting, Scripting, Virtualization",original
SYSTEMS ENGINEER,"Systems Design, Linux Administration, Windows Server Administration, Networking, Cloud Computing",original
TeamCity Engineer,"TeamCity, CI/CD, Build Automation, Version Control, Git",original
Tech Sales Engineer,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies",original
TECHNICAL ACCOUNT MANAGER,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management",original
TECHNICAL LEAD,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies",original
Terraform Engineer,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud",original
TFS Engineer,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework",original
UDeploy Engineer,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control",original
UI DESIGNER,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing",original
UI Developer,"HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS",original
Unity Developer,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation",original
UX DESIGNER,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design",original
Vault Engineer,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security",original
Web Designer (UI/UX Designer),"UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma",original
Web Developer,"HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP",original
WordPress Developer,"WordPress, PHP, MySQL, HTML5, CSS3, JavaScript",original
XL Deploy Engineer,"XL Deploy, Deployment Automation, CI/CD, Version Control",original
Zabbix Engineer,"Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring",original
ACCESSIBILITY SPECIALIST,"Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design",original
ADMIN BIG DATA,"Big Data Management, Hadoop, Spark, Data Warehousing, SQL",original
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership",original
ANDROID DEVELOPER,"Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design",original
ANSIBLE AUTOMATION ENGINEER,"Ansible, Automation Scripts, Linux, Networking, Cloud Computing",original
APPLICATION SECURITY ENGINEER,"Security Protocols, Penetration Testing, Secure Coding Practices, Compliance",original
ARTIFACTORY ADMINISTRATOR,"Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines",original
ARTIFACTORY ENGINEER,"Artifactory, DevOps Practices, Continuous Integration, Software Packaging",original
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"AI/ML Frameworks, Leadership, Strategic Planning, Data Science",original
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"Advanced AI/ML, Leadership, Strategic Vision, Team Management",original
ARTIFICIAL INTELLIGENCE ARCHITECT,"AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling",original
ARTIFICIAL INTELLIGENCE RESEARCHER,"Research Methodologies, AI/ML Algorithms, Python, Data Analysis",original
AWS DEVOPS ENGINEER,"AWS Services, DevOps Practices, CI/CD Pipelines, Automation",original
AWS SOLUTIONS ARCHITECT,"AWS Services, Cloud Architecture, Solution Design, Cost Optimization",original
AZURE DEVOPS ENGINEER,"Azure Services, DevOps Practices, CI/CD Pipelines, Automation",original
BAMBOO ENGINEER,"Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management",original
BIG DATA ARCHITECT,"Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design",original
BIG DATA ENGINEER,"Hadoop, Spark, ETL Processes, Data Processing, Database Management",original
BIG DATA SPECIALIST,"Big Data Technologies, Data Analysis, SQL, Data Mining",original
BITBUCKET ENGINEER,"Bitbucket, Git, Version Control, CI/CD Integration",original
BLOCKCHAIN DEVELOPER,"Blockchain Technologies, Solidity, Cryptography, Smart Contracts",original
BUILD AND RELEASE ENGINEER,"CI/CD Pipelines, Build Systems, Automation, Configuration Management",original
BUILD ENGINEER,"Build Systems, Scripting, Automation, Software Configuration Management",original
BUSINESS SYSTEMS ANALYST,"Requirements Gathering, Process Analysis, System Design, Documentation",original
C# DEVELOPER,"C#, .NET Framework, ASP.NET, Software Development, Object-Oriented Programming",original
CHEF INSPEC ENGINEER,"Chef Inspec, Compliance Automation, Infrastructure Testing, Ruby",original
CHEF OPERATIONS ENGINEER,"Chef, Automation, Infrastructure Management, Ruby",original
CLOUD ADMINISTRATOR,"Cloud Platforms, System Administration, Virtualization, Networking",original
CLOUD ARCHITECT,"Cloud Platforms, System Architecture, Cloud Security, DevOps",original
CLOUD AUTOMATION ENGINEER,"Cloud Automation Tools, Scripting, Configuration Management, DevOps",original
CLOUD NETWORK ENGINEER,"Cloud Networking, Virtual Networks, Network Security, Cloud Platforms",original
CLOUD SECURITY ENGINEER,"Cloud Security, Security Protocols, Compliance, Cloud Platforms",original
CNC PROGRAMMER,"CNC Machines, CAD/CAM Software, G-Code, Manufacturing Processes",original
CODER,"Programming Languages, Scripting, Problem Solving, Software Development",original
COMPUTER GRAPHICS ANIMATOR,"Animation Software, 3D Modeling, Visual Effects, Graphic Design",original
COMPUTER HARDWARE ENGINEER,"Hardware Design, Circuit Design, Embedded Systems, Testing",original
COMPUTER NETWORK ARCHITECT,"Network Design, Network Protocols, Security, System Architecture",original
COMPUTER PROGRAMMER,"Programming Languages, Algorithms, Software Development, Debugging",original
COMPUTER RESEARCH SCIENTIST,"Research Methodologies, Data Analysis, Programming, Scientific Writing",original
COMPUTER SYSTEMS ANALYST,"Systems Analysis, Requirements Gathering, Process Improvement, IT Consulting",original
CONFLUENCE ENGINEER,"Confluence, Atlassian Suite, Documentation, Collaboration Tools",original
CONSUL ENGINEER,"Consul, Service Discovery, Infrastructure Automation, Networking",original
COVERAGE.PY ENGINEER,"Coverage.py, Python Testing, Test Coverage Analysis, Software Quality",original
DATA ANALYST,"Data Analysis, SQL, Data Visualization, Statistical Analysis",original
DATA ARCHITECT,"Data Modeling, Database Design, ETL Processes, Data Warehousing",original
DATA ENGINEER,"ETL Processes, Data Warehousing, Big Data Technologies, Database Management",original
DATA MODELER,"Data Modeling Techniques, Database Design, Data Governance, Data Analysis",original
