job_title,skills
Full Stack JAVA Developer/Programmer/Engineer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices, JavaScript, HTML, CSS, React"
Full Stack Python Developer/Programmer/Engineer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git, JavaScript, HTML, CSS, React"
Game Developer,"Unity, C++, Game Design, Game Engines, C#, VR Development, JavaScript, Unreal Engine"
GCP DevOps Engineer,"Google Cloud, DevOps, CI/CD, Terraform, Ansible, Docker, Kubernetes, Linux, Automation, Scripting"
Gerrit Engineer,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control"
Git Engineer,"Git, Version Control, Branching Strategies, Code Review, CI/CD, Automation, Scripting"
Github Engineer,"GitHub, Git, Version Control, CI/CD, Automation, Scripting, GitHub Actions"
GitLab Engineer,"GitLab, Git, Version Control, CI/CD, Automation, Scripting, GitLab CI"
Gradle Engineer,"Gradle, Build Automation, Java, Groovy, CI/CD, Version Control, Git"
Grafana Engineer,"Grafana, Data Visualization, Monitoring, Alerting, Metrics, Dashboards, Linux, Cloud Computing"
Groovy Engineer,"Groovy, Scripting, Jenkins, Automation, Java, Build Automation"
INFORMATION ARCHITECT,"Information Architecture, UI/UX Design, User Research, Wireframing, Prototyping, Content Strategy"
Information Security Analyst,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing"
INTERACTION DESIGNER,"Interaction Design, UI/UX Design, Prototyping, User Research, Wireframing, Usability Testing"
IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Design, REST APIs, SQL, Mobile Development"
Istio Engineer,"Istio, Service Mesh, Kubernetes, Docker, Cloud Computing, Networking, Traffic Management, Security"
IT Manager,"Project Management, Team Leadership, Agile Methodologies, Budgeting, IT Infrastructure, Networking, Cloud Computing, Cybersecurity"
JaCoCO Engineer,"JaCoCO, Code Coverage, Java, Testing, Quality Assurance, CI/CD"
Java Developer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices"
JavaScript Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design"
JIRA Engineer,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management"
Jr Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Front End Developer,"JavaScript, HTML, CSS, React, Vue.js, Git, UI/UX Basics"
Junior IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Basics, Git"
Junior Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics"
JUnit Engineer,"JUnit, Java, Testing, Unit Testing, Test Automation, CI/CD"
kubernetes Administrator,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security"
Kubernetes Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security"
MAVEN Engineer,"Maven, Java, Build Automation, Dependency Management, CI/CD, Version Control, Git"
Micro services / API Lead Designer,"Microservices, API Design, REST APIs, SOA, Cloud Computing, Java, Python, Security"
MOBILE APP DEVELOPER,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design"
Mobile Application Developer,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design"
Mulesoft Developer,"MuleSoft, Anypoint Platform, API Development, Integration, Java, REST APIs, SOA"
Nagios Engineer,"Nagios, Monitoring, Linux, Scripting, Alerting, System Administration, Networking"
Network and Systems Administrator,"Networking, Linux, Windows Server, Troubleshooting, Scripting, Automation, System Administration"
Network Engineer,"TCP/IP, LAN/WAN, Routing, Switching, Firewalls, VPN, Cisco, Security, Networking Protocols"
New Grad Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
New Relic Engineer,"New Relic, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting"
Nexus Engineer,"Nexus, Artifact Repository, Maven, Gradle, Docker, CI/CD, Build Automation"
Nomad Engineer,"Nomad, Container Orchestration, Docker, Linux, Cloud Computing, Automation, Networking"
Notary Engineer,"Notary, Security, Docker, Container Security, Cryptography, Trust Management"
Octopus Deploy Engineer,"Octopus Deploy, Deployment Automation, CI/CD, .NET, PowerShell, Scripting, Cloud Computing"
OpenShift Engineer,"OpenShift, Kubernetes, Docker, Linux, Cloud Computing, CI/CD, Automation, Security"
OpenStack Engineer,"OpenStack, Cloud Computing, Virtualization, Networking, Linux, Automation, Scripting"
Oracle Developer,"Oracle, SQL, PL/SQL, Database Design, Performance Tuning, ETL"
Oracle SQL Developer,"Oracle SQL Developer, SQL, PL/SQL, Database Development, Performance Tuning, ETL"
Packer Engineer,"Packer, Infrastructure as Code, Cloud Computing, Automation, AWS, Azure, Google Cloud"
PHP Developer,"PHP, MySQL, Laravel, JavaScript, CSS, HTML, RESTful APIs, Symfony, Git"
Powershell Engineer,"PowerShell, Scripting, Automation, Windows Server, Cloud Computing, Active Directory"
PRODUCT MANAGER,"Product Management, Agile Methodologies, User Research, Roadmap Planning, Stakeholder Management, Communication"
Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
Programmer Analyst,"Programming, Data Analysis, Requirements Gathering, SQL, Data Modeling, Process Improvement"
Prometheus Engineer,"Prometheus, Monitoring, Alerting, Metrics, Kubernetes, Docker, Cloud Computing"
Puppet Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code"
PyTest Engineer,"PyTest, Python, Testing, Unit Testing, Test Automation, CI/CD"
Python Developer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git"
QA Engineer,"Automation Testing, Selenium, JUnit, TestNG, CI/CD, Python, Git, Jenkins, Test Automation, Agile Testing, Performance Testing"
React Developer,"JavaScript, React, HTML, CSS, Node.js, Redux, UI/UX Design, Git"
Robotics Engineer,"Robotics, C++, Python, ROS, Embedded Systems, Control Systems, Sensors, Actuators"
RUBY ON RAILS DEVELOPER,"Ruby on Rails, Ruby, SQL, HTML, CSS, JavaScript, REST APIs, Git"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL, Salesforce Administration, REST APIs"
Search Engine Optimization,"SEO, Keyword Research, On-Page Optimization, Off-Page Optimization, Content Marketing, Analytics"
SECURITY SPECIALIST,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing"
Selenium Engineer,"Selenium, Test Automation, Java, Python, WebDriver, CI/CD, Testing Frameworks"
Senior Ansible Development Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking, Leadership"
Senior Cloud Architect,"Cloud Architecture, AWS, Azure, Google Cloud, Microservices, Kubernetes, Docker, Security, Leadership"
Senior DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking, Leadership"
Senior DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management, Leadership"
Senior SRE Architect,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership"
Senior SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership"
Sharepoint Developer,"SharePoint, .NET, C#, JavaScript, PowerShell, SharePoint Framework, REST APIs"
Software Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
Software Engineer,"Java, C++, Python, Algorithms, Data Structures, Software Design, Git, Jenkins, CI/CD, Cloud Computing"
SonarQube Engineer,"SonarQube, Code Quality, Static Code Analysis, Java, .NET, Security, CI/CD"
Splunk Enterprise Security Engineer,"Splunk Enterprise Security, Security Information and Event Management (SIEM), Threat Detection, Incident Response, Security Analysis"
SQL Developer,"SQL, T-SQL, SQL Server, Database Design, Performance Tuning, ETL, SSRS, SSIS, Data Modeling"
SRE Architect,"SRE, Cloud Architecture, Kubernetes, Docker, Monitoring, Incident Management, Automation, CI/CD, Networking"
SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python"
SYSTEMS ADMINISTRATOR,"Linux Administration, Windows Server Administration, Networking, Troubleshooting, Scripting, Virtualization"
SYSTEMS ENGINEER,"Systems Design, Linux Administration, Windows Server Administration, Networking, Cloud Computing"
TeamCity Engineer,"TeamCity, CI/CD, Build Automation, Version Control, Git"
Tech Sales Engineer,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies"
TECHNICAL ACCOUNT MANAGER,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management"
TECHNICAL LEAD,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies"
Terraform Engineer,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud"
TFS Engineer,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework"
UDeploy Engineer,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control"
UI DESIGNER,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing"
UI Developer,"HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS"
Unity Developer,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation"
UX DESIGNER,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design"
Vault Engineer,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security"
Web Designer (UI/UX Designer),"UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma"
Web Developer,"HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP"
WordPress Developer,"WordPress, PHP, MySQL, HTML5, CSS3, JavaScript"
XL Deploy Engineer,"XL Deploy, Deployment Automation, CI/CD, Version Control"
Zabbix Engineer,"Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring"
ACCESSIBILITY SPECIALIST,"Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design"
ADMIN BIG DATA,"Big Data Management, Hadoop, Spark, Data Warehousing, SQL"
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership"
ANDROID DEVELOPER,"Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design"
ANSIBLE AUTOMATION ENGINEER,"Ansible, Automation Scripts, Linux, Networking, Cloud Computing"
APPLICATION SECURITY ENGINEER,"Security Protocols, Penetration Testing, Secure Coding Practices, Compliance"
ARTIFACTORY ADMINISTRATOR,"Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines"
ARTIFACTORY ENGINEER,"Artifactory, DevOps Practices, Continuous Integration, Software Packaging"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"AI/ML Frameworks, Leadership, Strategic Planning, Data Science"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"Advanced AI/ML, Leadership, Strategic Vision, Team Management"
ARTIFICIAL INTELLIGENCE ARCHITECT,"AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling"
ARTIFICIAL INTELLIGENCE RESEARCHER,"Research Methodologies, AI/ML Algorithms, Python, Data Analysis"
AWS DEVOPS ENGINEER,"AWS Services, DevOps Practices, CI/CD Pipelines, Automation"
AWS SOLUTIONS ARCHITECT,"AWS Services, Cloud Architecture, Solution Design, Cost Optimization"
AZURE DEVOPS ENGINEER,"Azure Services, DevOps Practices, CI/CD Pipelines, Automation"
BAMBOO ENGINEER,"Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management"
BIG DATA ARCHITECT,"Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design"
BIG DATA ENGINEER,"Hadoop, Spark, ETL Processes, Data Processing, Database Management"
BIG DATA SPECIALIST,"Big Data Technologies, Data Analysis, SQL, Data Mining"
BITBUCKET ENGINEER,"Bitbucket, Git, Version Control, CI/CD Integration"
BLOCKCHAIN DEVELOPER,"Blockchain Technologies, Solidity, Cryptography, Smart Contracts"
BUILD AND RELEASE ENGINEER,"CI/CD Pipelines, Build Systems, Automation, Configuration Management"
BUILD ENGINEER,"Build Systems, Scripting, Automation, Software Configuration Management"
BUSINESS SYSTEMS ANALYST,"Requirements Gathering, Process Analysis, System Design, Documentation"
C# DEVELOPER,"C#, .NET Framework, ASP.NET, Software Development, Object-Oriented Programming"
CHEF INSPEC ENGINEER,"Chef Inspec, Compliance Automation, Infrastructure Testing, Ruby"
CHEF OPERATIONS ENGINEER,"Chef, Automation, Infrastructure Management, Ruby"
CLOUD ADMINISTRATOR,"Cloud Platforms, System Administration, Virtualization, Networking"
CLOUD ARCHITECT,"Cloud Platforms, System Architecture, Cloud Security, DevOps"
CLOUD AUTOMATION ENGINEER,"Cloud Automation Tools, Scripting, Configuration Management, DevOps"
CLOUD NETWORK ENGINEER,"Cloud Networking, Virtual Networks, Network Security, Cloud Platforms"
CLOUD SECURITY ENGINEER,"Cloud Security, Security Protocols, Compliance, Cloud Platforms"
CNC PROGRAMMER,"CNC Machines, CAD/CAM Software, G-Code, Manufacturing Processes"
CODER,"Programming Languages, Scripting, Problem Solving, Software Development"
COMPUTER GRAPHICS ANIMATOR,"Animation Software, 3D Modeling, Visual Effects, Graphic Design"
COMPUTER HARDWARE ENGINEER,"Hardware Design, Circuit Design, Embedded Systems, Testing"
COMPUTER NETWORK ARCHITECT,"Network Design, Network Protocols, Security, System Architecture"
COMPUTER PROGRAMMER,"Programming Languages, Algorithms, Software Development, Debugging"
COMPUTER RESEARCH SCIENTIST,"Research Methodologies, Data Analysis, Programming, Scientific Writing"
COMPUTER SYSTEMS ANALYST,"Systems Analysis, Requirements Gathering, Process Improvement, IT Consulting"
CONFLUENCE ENGINEER,"Confluence, Atlassian Suite, Documentation, Collaboration Tools"
CONSUL ENGINEER,"Consul, Service Discovery, Infrastructure Automation, Networking"
COVERAGE.PY ENGINEER,"Coverage.py, Python Testing, Test Coverage Analysis, Software Quality"
DATA ANALYST,"Data Analysis, SQL, Data Visualization, Statistical Analysis"
DATA ARCHITECT,"Data Modeling, Database Design, ETL Processes, Data Warehousing"
DATA ENGINEER,"ETL Processes, Data Warehousing, Big Data Technologies, Database Management"
DATA MODELER,"Data Modeling Techniques, Database Design, Data Governance, Data Analysis"
DATA SCIENTIST,"Machine Learning, Statistical Analysis, Data Mining, Programming"
DATABASE ADMINISTRATOR,"Database Management, SQL, Performance Tuning, Backup and Recovery"
DATADOG ENGINEER,"Datadog, Monitoring, System Performance, Cloud Infrastructure"
DEVOPS ARCHITECT,"DevOps Practices, Cloud Computing, Automation, System Architecture"
DEVOPS ENGINEER,"Automation, CI/CD, Cloud Computing, Scripting"
DEVOPS MANAGER,"DevOps Practices, Team Leadership, Project Management, Automation"
